ffn,resnet,gated,differential,nn_ensemble,poly_reg
0.016211546222047842,0.016895036606844445,0.1203940236386811,0.008374990908815456,0.03238594318963356,0.00612587876938981
0.020882759305171222,0.021527868599217875,0.13538283489284544,0.01041840461330384,0.03553183817713258,0.008166211291016771
0.08807674190139834,0.09871488228950531,0.28445645932479113,0.03995696148834059,0.08617951182883543,0.040280725907312916
0.2924623655913979,0.2562043010752688,0.3719677419354839,0.024247311827956988,0.3272043010752688,0.24627956989247313
0.0,0.0,0.0,0.0,0.0,0.0
0.8657096774193548,0.7694408602150538,0.0,0.869752688172043,0.815236559139785,0.82
0.42694623655913977,0.17619354838709678,0.0,0.13026881720430109,0.815236559139785,0.1741505376344086
0.31369892473118277,0.3116129032258064,0.0,0.48776344086021506,0.3763655913978495,0.4389247311827957
0.0953524522156772,0.08444121521523613,0.3873754584856767,0.037393092609193844,0.11215988487412386,0.07911110463500498
0.014780285046515317,0.011233814957400858,0.2566464636614118,0.0029062070521558444,0.020206513048341486,0.011272374161882873
0.5043465392539707,0.5708827452736813,0.9394290510501203,0.3495665397497635,0.5290259717572278,0.49591064453125
0.8066509830355042,0.8686249756365481,0.9386629010469154,0.658550938290856,0.7131217582746824,105.49413227935015
1.3415031808465128,1.448933042939813,2.9301481116106483,0.8172540805922576,1.224387930371899,17607.867520458563
8.358780802402302,8.716792748496392,9.984580896466447,6.699598295490148,8.32589658914409,548.5006533595337
11621.0,11621.0,22550.0,197091.0,,252.0
2.8342809677124023,3.0672130584716797,227.03168511390686,13.165518999099731,,2.918919801712036
,,,177.82088088989258,,2.013810873031616
