,vol_of_vol,beta,rho,V0,F0,K,N_TIMES,MC_call
0,0.19394326761678285,1.0,-0.24388105193706888,0.18822561856681197,1.0,1.2439853323722323,11,0.15016096830368042
1,0.08824683673240297,1.0,-0.38057240372013856,0.2709606019286357,1.0,1.5690223612335057,15,0.08339231461286545
2,0.053511348758109395,1.0,-0.39077734460208136,0.208118609272617,1.0,0.06069004597114431,7,0.9707051515579224
3,0.1962378190302157,1.0,-0.3748746781206226,0.20818601810798054,1.0,0.9110739151336893,13,0.39286452531814575
4,0.14740314791971657,1.0,-0.028637377979452094,0.25100580128595773,1.0,0.938751036265797,18,0.4787288308143616
5,0.07133770170805297,1.0,-0.3594978186975696,0.18987290612165517,1.0,1.0810645233688763,14,0.1052803099155426
6,0.050223856501201765,1.0,-0.38628835161709896,0.15312455131666808,1.0,2.752913949447805,28,0.0020765610970556736
7,0.16056611330447673,1.0,-0.6709702976910459,0.14502209984574296,1.0,1.6677304305531786,7,0.003796931589022279
8,0.095432520722177,1.0,-0.6474194906509305,0.2509526458410407,1.0,0.04754165509536904,29,1.1959187984466553
9,0.011173994432867304,1.0,-0.7007026144634387,0.26998381978528474,1.0,0.6436372237331902,21,0.3998754620552063
10,0.17076965108939599,1.0,-0.6304769289760213,0.19826701412809095,1.0,0.6158108193796673,24,1.332104206085205
11,0.08468197441636746,1.0,-0.5954269000417489,0.15804051297951802,1.0,2.51875734390247,25,0.009336725808680058
12,0.14828531765211378,1.0,-0.43979734584446795,0.1826438973818402,1.0,1.3809349659189702,6,0.019573289901018143
13,0.0856188945076999,1.0,-0.34777940370217897,0.2094342183453602,1.0,0.9555036519781853,3,0.0997740775346756
14,0.032024400471922725,1.0,-0.314734966788241,0.10923136127078376,1.0,1.7524198587184794,23,0.0006411061040125787
15,0.03875036350477076,1.0,-0.05017354031165755,0.12125735808100101,1.0,1.169391000841795,18,0.030400743708014488
16,0.17129480618503778,1.0,-0.5029098868983969,0.16325238653438873,1.0,0.9846917019027863,12,0.184408038854599
17,0.10022781737773319,1.0,-0.43309462288018663,0.2871109068955459,1.0,1.2888895240191862,22,0.27634066343307495
18,0.0037859332809230505,1.0,-0.4559326915983154,0.261946340170387,1.0,2.413272184345935,2,0.0
19,0.12760339693283612,1.0,-0.2591344583393158,0.18705304334084338,1.0,2.886955556423773,13,0.007048985920846462
20,0.14736618796974668,1.0,-0.030630890702249225,0.14605687605648304,1.0,2.2130604509156306,6,0.00039129448123276234
