ffn,resnet,differential,npde,gated,nn_ensemble,poly_reg
0.015131158286670103,0.013450155613377235,0.012138781355612492,0.014868146794585221,0.024754651024647464,0.009777640232545107,3.238800425680847e-05
0.020882313928204416,0.01708852594846652,0.014926887393998263,0.020297429264242738,0.03307695171680159,0.012150669082932232,5.3427233705705154e-05
0.10527420397949216,0.09093094226074216,0.030945733117675678,0.12872887011718748,0.13572627617370606,0.08575660344314573,0.0007152548163174011
0.029449462890625,0.0240936279296875,0.0,0.0314483642578125,0.016204833984375,0.0150909423828125,0.0003662109375
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1908763475565753,0.15433678606535498,0.02038461242251368,0.3279786931328622,0.10192016852583245,0.6162219297528819,0.00032253911899478803
0.576557628050932,0.4075618312227324,0.08714134632465283,0.6777808230764011,0.4332329940578142,0.660256347853649,0.008756967755789435
0.7952682528468109,0.5953491614511827,0.12347967283068076,0.9528530318893469,0.5627159523638461,1.146473558576279,0.01860456157653633
3.373622637318302,3.645736272156376,0.5566354170700265,4.008709827100966,1.4901997658030517,9.272003653028507,0.15537122505161782
0.014404296875,0.001434326171875,0.0012054443359375,0.0076751708984375,0.0,0.0010833740234375,0.0
0.0,0.0,0.000152587890625,0.0,0.0,0.0010833740234375,0.001251220703125
0.0693817138671875,0.0495452880859375,0.0,0.138580322265625,0.0,0.0203857421875,0.0002288818359375
0.09504263375310679,0.06886634373090621,0.02624795370509929,0.10565536125038512,0.16336234437621117,0.6257271809597774,0.0009948521559004712
0.07546731433903046,0.05672791154201716,0.021671010279697055,0.08680424954375143,0.13364729505483944,0.5969184430994086,0.0008225870145814854
0.6117751832284863,0.5738015080076293,0.13518421819830334,0.9284556705236864,0.9501617561651319,1.995335071,0.03221762643250401
0.44225954858606537,0.4096066204986445,0.1194858433290154,0.6744134603320773,0.8351042741734874,1.7113151534867213,0.030513649483981983
10905.0,10905.0,10905.0,10905.0,12504.0,,105.0
1.252938985824585,1.5008330345153809,1.566612958908081,1.9514918327331543,67.02824711799622,,0.40319108963012695
50.84499001502991,50.269039154052734,90.4312629699707,145.76503992080688,151.2315468788147,,0.5716762542724609
