S/K,ttm,V,vol_of_vol,beta,rho,call_payoff,digital_payoff,path
1.0,1.0,0.2,0.1,1.0,0.7,0.0,0,0
1.0068200826644897,0.99,0.2003428475972429,0.1,1.0,0.7,0.0,0,0
1.0045344829559326,0.98,0.2021421922401576,0.1,1.0,0.7,0.0,0,0
0.9944899678230286,0.97,0.1991779538509974,0.1,1.0,0.7,0.0,0,0
1.003839135169983,0.96,0.19860058236596603,0.1,1.0,0.7,0.0,0,0
0.987632691860199,0.95,0.20024411893778704,0.1,1.0,0.7,0.0,0,0
0.970149576663971,0.94,0.20036550394694375,0.1,1.0,0.7,0.0,0,0
0.9918901324272156,0.9299999999999999,0.20331704455024657,0.1,1.0,0.7,0.0,0,0
0.9650886654853821,0.92,0.20012803224139267,0.1,1.0,0.7,0.0,0,0
0.9420082569122314,0.91,0.19676444551434558,0.1,1.0,0.7,0.0,0,0
0.9407030940055847,0.9,0.19827484424644407,0.1,1.0,0.7,0.0,0,0
0.9637209177017212,0.89,0.19998897550931505,0.1,1.0,0.7,0.0,0,0
0.9718191623687744,0.88,0.19959289010110742,0.1,1.0,0.7,0.0,0,0
0.9781702756881714,0.87,0.20038363145478988,0.1,1.0,0.7,0.0,0,0
1.004173994064331,0.86,0.20187238822008968,0.1,1.0,0.7,0.0,0,0
0.9993932247161865,0.85,0.20022607921876265,0.1,1.0,0.7,0.0,0,0
0.9772126078605652,0.84,0.19880583412055813,0.1,1.0,0.7,0.0,0,0
0.9849088191986084,0.83,0.1991734199510546,0.1,1.0,0.7,0.0,0,0
0.9838903546333313,0.8200000000000001,0.2009722405621855,0.1,1.0,0.7,0.0,0,0
0.9801565408706665,0.81,0.19863266662510057,0.1,1.0,0.7,0.0,0,0
0.9767646789550781,0.8,0.1982299551168934,0.1,1.0,0.7,0.0,0,0
0.9708982110023499,0.79,0.19773650863386386,0.1,1.0,0.7,0.0,0,0
0.9671793580055237,0.78,0.19855476792553506,0.1,1.0,0.7,0.0,0,0
0.9838286638259888,0.77,0.19852757102156324,0.1,1.0,0.7,0.0,0,0
0.9742097854614258,0.76,0.1974369220846417,0.1,1.0,0.7,0.0,0,0
0.9851370453834534,0.75,0.19990750994013423,0.1,1.0,0.7,0.0,0,0
0.9727506637573242,0.74,0.19882245378902974,0.1,1.0,0.7,0.0,0,0
0.9761483669281006,0.73,0.19823263610723463,0.1,1.0,0.7,0.0,0,0
0.9596410989761353,0.72,0.19509298566670613,0.1,1.0,0.7,0.0,0,0
