log(S/K),ttm,sigma,pathwise_delta,call_payoff,call_true,digital_payoff,digital_true,true_d_log(S/K),true_d_ttm,true_d2_log(S/K),path
0.46060988,0.4654728,0.4654728,7.287912146352994,1.6996133828860684,0.63399917,1,0.77542,1.4094192,0.29959494,2.053055,44
0.4224931,0.16190788,0.16190788,1.3463240685554325,0.16031202456907856,0.52604395,1,0.99427265,1.5203166,0.016315872,1.6210886,45
-0.15598808,2.292091,2.292091,0.0,0.0,0.62299085,0,0.11235474,0.7353456,0.19090903,0.81863594,46
-0.29343957,0.759195,0.759195,1.6195555011236706,0.27261760306202487,0.14898464,1,0.22180492,0.3707896,0.29748192,0.76262814,47
0.25299248,2.5128224,2.5128224,0.0,0.0,1.0514486,0,0.12389572,1.1753443,0.20458022,1.2567589,48
-0.4994091,2.72286,2.72286,0.0,0.0,0.4732375,0,0.06119209,0.5344296,0.12097044,0.5788573,49
-0.41601557,0.58884156,0.58884156,6.2837423090928155,1.5067393228603136,0.065948054,1,0.15843296,0.22438101,0.24174833,0.63493,50
-0.6829409,2.1557057,2.1557057,0.0,0.0,0.3107671,0,0.081559375,0.3923265,0.15084909,0.46230316,51
0.39776164,1.4348866,1.4348866,0.0,0.0,0.9205177,0,0.32988325,1.2504009,0.36209735,1.5027534,52
0.22853181,2.7649875,2.7649875,0.0,0.0,1.0701426,0,0.09682765,1.1669703,0.17140386,1.2289611,53
0.2844196,1.5048099,1.5048099,0.0,0.0,0.8121651,0,0.28658193,1.098747,0.34039548,1.324952,54
0.38917306,1.1987343,1.1987343,0.0,0.0,0.82169354,0,0.39176807,1.2134616,0.38416916,1.5339406,55
-0.056954827,0.95423883,0.95423883,0.0,0.0,0.3294778,0,0.29570097,0.62517875,0.3454116,0.9871548,56
0.09529553,2.7205021,2.7205021,0.0,0.0,0.91782415,0,0.092548735,1.0103729,0.16578795,1.071313,57
-0.4993474,0.75592,0.75592,0.0,0.0,0.08642365,0,0.14950886,0.23593245,0.23264913,0.543702,58
-0.5343748,2.500373,2.500373,0.0,0.0,0.426525,0,0.071610026,0.49813503,0.13663438,0.5527806,59
0.23345608,0.6631436,0.6631436,0.0,0.0,0.4427027,0,0.5081669,0.95086974,0.39885867,1.5523362,60
-0.040069167,1.9658508,1.9658508,0.0,0.0,0.6415725,0,0.15785617,0.79942864,0.24117029,0.9221085,61
0.09043644,1.4080904,1.4080904,1.8889206914209353,0.3743801601996082,0.5914102,1,0.26114517,0.8525554,0.32509997,1.0834354,62
0.36736643,0.40336516,0.40336516,1.0886786873771257,0.04339765994336919,0.49106044,1,0.7608599,1.2519205,0.3102646,2.0211112,63
0.18675925,0.4652057,0.4652057,0.0,0.0,0.3212639,0,0.5670436,0.88830745,0.3932955,1.7337303,64
0.07427682,0.91637653,0.91637653,0.0,0.0,0.40647304,0,0.35303724,0.7595103,0.3715569,1.1649734,65
0.082078554,2.3232899,2.3232899,1.111549894023156,0.05430068457134474,0.8299733,1,0.13001585,0.95998913,0.21156293,1.0510509,66
-0.27178288,2.213926,2.213926,0.0,0.0,0.52878505,0,0.109400325,0.6381854,0.18729907,0.7227858,67
-0.6504246,0.6948487,0.6948487,0.0,0.0,0.04543349,0,0.0996601,0.1450936,0.1750624,0.39703685,68
-0.08772833,1.4809864,1.4809864,0.0,0.0,0.4770388,0,0.21193379,0.6889726,0.2897542,0.88462204,69
-0.39566967,0.38126218,0.38126218,2.65838706133151,0.630456130935809,0.023960032,1,0.1096447,0.13360481,0.1875995,0.6256531,70
-0.12680623,2.1762443,2.1762443,37.544328574986366,5.127343035565202,0.6215958,1,0.12581682,0.7474126,0.20679152,0.8424349,71
0.48992068,2.4005759,2.4005759,8.547410229351954,1.923595743218009,1.3418664,1,0.15957573,1.5014421,0.2428894,1.6026218,72
-0.3688382,2.6911848,2.6911848,0.0,0.0,0.54401886,0,0.069084175,0.61310303,0.13291323,0.6624914,73
-0.6123224,2.6686633,2.6686633,0.0,0.0,0.4101877,0,0.058934536,0.46912223,0.11746162,0.5131374,74
-0.30306628,1.0798877,1.0798877,0.0,0.0,0.2388868,0,0.20593992,0.44482672,0.28489846,0.708649,75
-0.28613982,0.8381481,0.8381481,0.0,0.0,0.1753462,0,0.22348705,0.39883322,0.29876578,0.75529265,76
0.22446395,2.7001092,2.7001092,0.0,0.0,1.0540569,0,0.10259141,1.1566483,0.1788003,1.2228678,77
0.07906335,0.5234202,0.5234202,4.100201500860351,1.0248953851569493,0.25847498,1,0.4559435,0.71441853,0.39650714,1.4719497,78
0.3935665,0.2720978,0.2720978,1.979983645204598,0.4071189367553183,0.49314338,1,0.904964,1.3981073,0.1690657,2.0194485,79
0.22778693,1.0113046,1.0113046,0.0,0.0,0.57435685,0,0.38958085,0.9639377,0.38356206,1.3432122,80
-0.12977536,2.3048701,2.3048701,0.0,0.0,0.64501476,0,0.113381416,0.75839615,0.19215277,0.8417643,81
0.4353247,2.1131794,2.1131794,0.0,0.0,1.1882141,0,0.19749993,1.3857139,0.27784663,1.5171967,82
-0.46167356,2.9624603,2.9624603,0.0,0.0,0.52111083,0,0.050807796,0.5719186,0.10446117,0.60718024,83
-0.66166157,1.1426474,1.1426474,0.0,0.0,0.13141114,0,0.124992944,0.25640407,0.20584537,0.43655187,84
-0.5683143,0.89995724,0.89995724,0.0,0.0,0.102699324,0,0.1397443,0.24244362,0.22230032,0.4894557,85
0.30825552,1.196802,1.196802,0.0,0.0,0.72765833,0,0.36661392,1.0942723,0.37643015,1.4088022,86
-0.052849382,2.3685431,2.3685431,0.0,0.0,0.718413,0,0.113796115,0.8322091,0.19265358,0.9135476,87
-0.469577,0.7214699,0.7214699,1.3660530256004222,0.16878272052668275,0.08539966,1,0.15586555,0.2412652,0.23916484,0.5727619,88
0.0014483659,2.8484693,2.8484693,0.0,0.0,0.84695905,0,0.077262886,0.92422193,0.14479497,0.97505444,89
-0.48199776,1.5863931,1.5863931,0.0,0.0,0.28837863,0,0.13631439,0.42469302,0.21856436,0.5624674,90
0.27215782,2.3711205,2.3711205,2.2851104884759934,0.511658273595581,1.0436574,1,0.14213423,1.1857916,0.22487211,1.2806295,91
-0.074643254,2.4990592,2.4990592,0.0,0.0,0.72440445,0,0.10037847,0.8247829,0.17598292,0.8952026,92
-0.1649396,1.4885639,1.4885639,0.0,0.0,0.42850488,0,0.19625163,0.6247565,0.27678204,0.8106955,93
-0.27516267,2.249977,2.249977,0.0,0.0,0.5333056,0,0.106146656,0.6394522,0.18326949,0.72090614,94
0.18061003,1.1576135,1.1576135,0.0,0.0,0.58473,0,0.33622515,0.92095524,0.36483392,1.2361156,95
-0.1915684,2.4516912,2.4516912,0.0,0.0,0.6258859,0,0.09611975,0.72200567,0.17048225,0.79154223,96
-0.5716386,2.4893186,2.4893186,36.57105826681823,5.047401087112942,0.40685874,1,0.070201,0.47705975,0.13456437,0.5311165,97
-0.5295563,1.7419969,1.7419969,0.0,0.0,0.30083108,0,0.11999894,0.42083,0.20003921,0.53566325,98
0.64032614,0.73262864,0.73262864,3.241861334068986,0.8005170342506365,0.9991317,1,0.69416726,1.6932989,0.35070255,2.17199,99
0.5664131,2.9136472,2.9136472,0.0,0.0,1.5715923,0,0.10339825,1.6749905,0.17982069,1.7367073,100
0.27685288,2.8462417,2.8462417,0.0,0.0,1.1418413,0,0.092444524,1.2342858,0.16564983,1.2924854,101
-0.32457316,1.8974795,1.8974795,0.0,0.0,0.43358403,0,0.13140069,0.5649847,0.21311817,0.67730117,102
0.65041655,2.953255,2.953255,12.06124412508558,2.4729303327645358,1.7258825,1,0.10448728,1.8303698,0.18119223,1.8917232,103
0.3864308,1.5581093,1.5581093,51.742512001533214,6.193226593026367,0.95003635,1,0.29769486,1.2477312,0.34647614,1.4701009,104
0.30067363,1.1889046,1.1889046,1.7037551781186266,0.3052797599665491,0.7164328,1,0.36634383,1.0827767,0.37633803,1.3993185,105
-0.07019986,1.4354588,1.4354588,0.0,0.0,0.47582468,0,0.22164974,0.6974744,0.29736292,0.9046297,106
-0.31574023,0.23313035,0.23313035,0.0,0.0,0.008027412,0,0.07065699,0.07868421,0.13523562,0.65877044,107
-0.55952096,1.6924534,1.6924534,0.0,0.0,0.2786582,0,0.11963287,0.39829108,0.19960873,0.51623154,108
0.55812544,2.032074,2.032074,0.0,0.0,1.3462101,0,0.22923183,1.575442,0.3030796,1.72459,109
-0.06130708,0.41760793,0.41760793,0.0,0.0,0.13244876,0,0.36106658,0.49351534,0.37449852,1.3902861,110
-0.412612,0.84123296,0.84123296,1.1261310666605482,0.0611932828372741,0.13140357,1,0.18112099,0.31252456,0.26342377,0.6256647,111
-0.26900125,2.191434,2.191434,0.0,0.0,0.5263178,0,0.11152307,0.63784087,0.18989748,0.7244953,112
0.10982164,2.4014115,2.4014115,6.001295827229342,1.4497541715628723,0.8733871,1,0.12405063,0.9974377,0.20475921,1.082704,113
-0.44808808,2.9590144,2.9590144,0.0,0.0,0.5285738,0,0.051451623,0.58002543,0.105513215,0.6156837,114
0.49437237,0.8343487,0.8343487,0.0,0.0,0.81358963,0,0.5695979,1.3831875,0.3928559,1.854041,115
0.35838416,2.5401745,2.5401745,0.0,0.0,1.1883779,0,0.12944877,1.3178266,0.21092346,1.4008616,116
0.30424026,0.5990986,0.5990986,2.1396778945572805,0.46276385259954855,0.48879886,1,0.5824951,1.0712938,0.39038226,1.7229099,117
-0.09413904,0.47954735,0.47954735,0.0,0.0,0.13946679,0,0.33138868,0.47085547,0.362757,1.2273126,118
0.17648754,2.2146904,2.2146904,0.0,0.0,0.90065616,0,0.15205592,1.0527121,0.23528054,1.1589484,119
0.11658454,1.3930299,1.3930299,0.0,0.0,0.6091102,0,0.26999646,0.87910664,0.33064336,1.1164622,120
0.2077315,2.402378,2.402378,0.0,0.0,0.97662306,0,0.13248529,1.1091083,0.21432993,1.1983241,121
-0.57608247,0.9194379,0.9194379,0.0,0.0,0.10513,0,0.13867794,0.24380799,0.22114453,0.4843294,122
-0.11671572,0.71826226,0.71826226,0.0,0.0,0.2133111,0,0.3009645,0.5142756,0.34819707,0.99905264,123
-0.6354577,1.6915164,1.6915164,0.0,0.0,0.24968158,0,0.11096136,0.36064294,0.1892122,0.47250247,124
-0.008330493,0.43440038,0.43440038,0.0,0.0,0.16711748,0,0.40657002,0.5736875,0.38795123,1.4667605,125
-0.23586245,0.9083727,0.9083727,2.9211173737849663,0.7091276342636423,0.21819833,1,0.23766303,0.4558614,0.30921376,0.7962654,126
-0.49279413,0.58208734,0.58208734,2.9407549122306733,0.7148629202982533,0.04907739,1,0.12763505,0.17671241,0.20886792,0.5355381,127
-0.5498002,1.0281372,1.0281372,0.0,0.0,0.1366409,0,0.14712995,0.28377086,0.23016642,0.5076383,128
0.12150118,2.3199463,2.3199463,0.0,0.0,0.8679248,0,0.1340172,1.001942,0.21603212,1.0950615,129
-0.4566551,0.45015278,0.45015278,0.0,0.0,0.02857174,0,0.10757631,0.13614802,0.18504709,0.54722416,130
0.58934164,1.8744198,1.8744198,0.0,0.0,1.3461604,0,0.2667089,1.6128694,0.32861233,1.7881836,131
0.112374604,1.7958215,1.7958215,0.0,0.0,0.7287333,0,0.2017645,0.9304978,0.28144142,1.0872179,132
-0.21228352,1.6605788,1.6605788,0.0,0.0,0.44467008,0,0.1689995,0.6136696,0.25209692,0.76548225,133
0.12603563,1.504318,1.504318,0.0,0.0,0.65370345,0,0.2519467,0.90565014,0.31908363,1.1177621,134
-0.6615343,2.0251958,2.0251958,0.0,0.0,0.29867092,0,0.09024469,0.3889156,0.16271847,0.46926263,135
0.6356981,2.570251,2.570251,0.0,0.0,1.6202487,0,0.14968249,1.7699312,0.23282945,1.8605175,136
-0.024532646,0.56990623,0.56990623,12.891198010056598,2.5904313862775843,0.20968446,1,0.37145588,0.58114034,0.37804937,1.2444941,137
0.39195424,2.460981,2.460981,13.050755368194643,2.6125829571786148,1.2160401,1,0.1420346,1.3580748,0.22476548,1.4494065,138
-0.578459,0.27827936,0.27827936,0.0,0.0,0.001418367,0,0.013282925,0.014701265,0.034103885,0.13725406,139
-0.018495481,1.498161,1.498161,0.0,0.0,0.53205806,0,0.22320133,0.7552594,0.2985484,0.954536,140
-0.012882842,1.58325,1.58325,4.767298700768151,1.1834144132991664,0.5613786,1,0.21192434,0.7733029,0.28974673,0.9563105,141
0.60695636,0.6729989,0.6729989,0.0,0.0,0.9229727,0,0.71408856,1.6370612,0.34001705,2.1422882,142
