ffn,resnet,gated,differential,nn_ensemble,poly_reg
0.1938904066479227,0.37245349944890704,5.266902280742644,0.19231509163778643,1.1471410507888131,0.0022890753739878856
0.23207306399637095,0.400483473702308,5.385941531949468,0.22985776378597542,1.1779978813869938,0.003260274524125146
0.6940101059583499,0.9514706340260308,10.889688679715944,0.6827217909005954,2.459016510984254,0.022834714502096176
0.7130905306971904,0.9352965660770031,0.0,0.7117481789802289,0.0,0.46727367325702396
0.0,0.0,1.0,0.0,0.7488969823100936,0.0
0.05441207075962539,0.0,0.0,0.045213319458896985,0.0,0.16224765868886576
0.3648595213319459,1.0,0.0,0.34704474505723204,0.0,0.17599375650364205
0.9870863683662852,0.7381893860561914,0.0,0.9866805411030177,0.0,0.4622684703433923
11621.0,11621.0,22550.0,11627.0,,792.0
1.4786601066589355,1.6380159854888916,197.8981969356537,1.418694019317627,,7.994251012802124
5.73203182220459,7.11775279045105,58.69487524032593,11.279711961746216,,9.295068264007568
